Partlist

Exported from xr_vco_components_manual_rt1-V2.brd at 3/29/18 9:54 PM

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part       Value                      Package              Library                 Position (mm)         Orientation

R101       2k tempco                  0309/12              resistor                (45.49 30.08)         MR180
R103       82k                        7MM_RESISTOR         MusicThingModular       (31.31 31.36)         R180
R118       1k                         7MM_RESISTOR         MusicThingModular       (10.9 84.8)           R180
R122       390R                       7MM_RESISTOR         MusicThingModular       (26.24 15.58)         R90
R124       4.7k                       7MM_RESISTOR         MusicThingModular       (7.26 11.01)          R0
R126       1.2m                       7MM_RESISTOR         MusicThingModular       (10.78 87.43)         R180
R128       200k                       7MM_RESISTOR         MusicThingModular       (30.85 51.43)         R180
R129       10k                        7MM_RESISTOR         MusicThingModular       (5.51 46.18)          R180
R130       100k                       7MM_RESISTOR         MusicThingModular       (17.93 90.83)         R90
R132       2.2k                       7MM_RESISTOR         MusicThingModular       (32.76 60.57)         R0
R133       10k                        7MM_RESISTOR         MusicThingModular       (8.65 55.93)          R180
R134       220k                       7MM_RESISTOR         MusicThingModular       (41.53 82.87)         R180
R135       47k                        7MM_RESISTOR         MusicThingModular       (7.44 61.12)          R180
R136       11k                        7MM_RESISTOR         MusicThingModular       (36.85 55.12)         R180
R137       20k                        7MM_RESISTOR         MusicThingModular       (36.76 57.87)         R180
R140       5.6k                       7MM_RESISTOR         MusicThingModular       (32.24 80.12)         R180
R142       5.6k                       7MM_RESISTOR         MusicThingModular       (41.53 80.06)         R180
R146       1k                         7MM_RESISTOR         MusicThingModular       (31.17 46.81)         R180
R147       4.7k                       7MM_RESISTOR         MusicThingModular       (32.33 77.06)         R180
R148       10k                        7MM_RESISTOR         MusicThingModular       (13.31 36.26)         R90
R149       2.2M                       7MM_RESISTOR         MusicThingModular       (32.6 70.94)          R0
R150       3k                         7MM_RESISTOR         MusicThingModular       (11.22 80.25)         R0
R151       1.8k                       7MM_RESISTOR         MusicThingModular       (10.94 82.75)         R180
R152       10k                        7MM_RESISTOR         MusicThingModular       (32.9 66.5)           R0
R153       10k                        7MM_RESISTOR         MusicThingModular       (33.01 63.25)         R180
R154       4.7k                       7MM_RESISTOR         MusicThingModular       (2.5 53)              R270
R155       2.2M                       7MM_RESISTOR         MusicThingModular       (31.75 84.25)         R180
SINE_RND   500 Ohm                    BOURNS_3362P_TRIMMER MusicThingModular       (57.77 30)            MR0
SINE_RND1  500 Ohm                    BOURNS_3362P_TRIMMER MusicThingModular       (7.37 35.05)          MR0
SINE_SYM   25k                        BOURNS_3362P_TRIMMER MusicThingModular       (58.36 19.75)         MR0
SINE_SYM1  25k                        BOURNS_3362P_TRIMMER MusicThingModular       (7.43 24)             MR0
SV1        EURO_POWER_HEADERLOCK_PADS EURO_PWR_HEADER_LOCK MusicThingModular       (45.84 92.71)         MR90
U1         LF442N                     DIL08                linear                  (69.48 75.09)         R270
U2         TL074P                     DIL14                linear                  (69.65 56.42)         R90
U3         LF442N                     DIL08                linear                  (21.18 78.05)         R270
U4         TL074P                     DIL14                linear                  (20.95 59.14)         R90
V/OCT      100R                       BOURNS_3362P_TRIMMER MusicThingModular       (67.07 10.75)         MR0
V/OCT1     100R                       BOURNS_3362P_TRIMMER MusicThingModular       (20.94 19.25)         MR0
